STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
4237,"MULLAKATWA CHERUVU, JI TECH CITY, 
MADHAPUR,",TANK,TELANGANA,22.0,30.0,0.0,1.0,7.1,8.2,1371,1940,18.00,38.00,13.00,22.00,34,72,350,540
4238,"AMEENPUR CHERUVU, AMEENPUR (V & M) 
SANGAREDDY DISTRICT",TANK,TELANGANA,23.0,28.0,5.1,6.5,7.0,7.4,1114,1992,3.20,12.00,5.24,23.62,2,18,BDL,230
4239,"MAHABOOBSAGAR TANK SANGAREDDY (V & 
M) SANGAREDDY DISTRICT",TANK,TELANGANA,22.0,24.0,5.5,6.7,7.2,7.5,1060,1804,2.20,8.00,9.29,18.40,2,4,BDL,70
4241,"CHITKUL TANK, CHITKUL (V) PATANCHERU (M) 
SANGAREDDY DISTRICT",TANK,TELANGANA,23.0,26.0,4.9,6.2,6.6,7.6,1110,4550,2.80,10.00,7.32,28.37,2,2,BDL,40
4242,"LAKADARAM CHERUVU, LAKADARAM (V) 
PATANCHERU (M) SANGAREDDY DISTRICT",TANK,TELANGANA,22.0,26.0,4.9,5.3,6.9,7.3,1190,1233,3.40,4.00,8.37,9.43,2,2,BDL,BDL
4243,"ISNAPUR TANK, ISNAPUR (V) PATANCHERU 
9M) SANGAREDDY DISTRICT",TANK,TELANGANA,23.0,25.0,4.6,6.7,6.5,7.6,3370,15300,5.60,54.00,21.40,61.93,2,6,BDL,210
4244,"YERDANOOR TANK, YERDANOOR (V) 
SANGAREDDY DISTRICT",TANK,TELANGANA,22.0,24.0,5.8,7.2,6.6,7.8,590,3200,2.00,36.00,7.59,40.20,2,2,BDL,26
4245,"MALLEPALLY TANK MALLEPALLY (V) 
KONDAPUR (M) SANGAREDDY DISTRICT",TANK,TELANGANA,23.0,25.0,4.9,6.5,7.3,7.9,1598,3150,3.40,8.00,10.37,38.30,2,2,BDL,40
4247,"MUCHARLA NAGARAM CHERUVU, WARANGAL",TANK,TELANGANA,25.0,31.0,0.1,3.2,6.7,8.2,698,1739,6.00,26.00,0.37,14.00,11,60,110,540
4248,"KOTI CHERUVU, HANAMKONDA, WARANGAL",TANK,TELANGANA,26.0,30.0,0.1,5.6,6.8,7.9,996,1406,4.00,18.00,0.50,22.00,10,32,280,350
4249,"RANGASAMUDRAM, WARANGAL",TANK,TELANGANA,26.0,30.0,BDL,1.6,7.2,7.8,1015,1893,12.00,28.00,2.00,6.00,20,350,230,540
4302,"RUDRARAM TANK, RUDRARAM 
(V)PATANCHERU (M) SANGAREDDY DISTRICT",TANK,TELANGANA,22.0,25.0,5.6,6.9,6.1,7.4,1085,3560,2.20,12.00,6.17,42.43,2,2,BDL,40
